title,url,image,genres
"Throne of Glass (Throne of Glass, #1)",https://www.goodreads.com/book/show/76703559-throne-of-glass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566495i/76703559._SY75_.jpg,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Magic', 'Young Adult Fantasy', 'High Fantasy']"
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664458703i/32620332._SY75_.jpg,"['Fiction', 'Romance', 'Historical Fiction', 'LGBT', 'Contemporary', 'Audiobook', 'Queer']"
"Tomorrow, and Tomorrow, and Tomorrow",https://www.goodreads.com/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636978687i/58784475._SY75_.jpg,"['Fiction', 'Contemporary', 'Romance', 'Audiobook', 'Literary Fiction', 'Adult', 'Historical Fiction']"
Never Lie,https://www.goodreads.com/book/show/62080187-never-lie,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661428846i/62080187._SY75_.jpg,"['Thriller', 'Mystery', 'Audiobook', 'Mystery Thriller', 'Fiction', 'Suspense', 'Psychological Thriller']"
Remarkably Bright Creatures,https://www.goodreads.com/book/show/58733693-remarkably-bright-creatures,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651600548i/58733693._SY75_.jpg,"['Fiction', 'Audiobook', 'Contemporary', 'Mystery', 'Magical Realism', 'Animals', 'Literary Fiction']"
"The Graham Effect (Campus Diaries, #1)",https://www.goodreads.com/book/show/123255391-the-graham-effect,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700730648i/123255391._SY75_.jpg,"['Romance', 'Sports Romance', 'Sports', 'Hockey', 'College', 'Contemporary', 'New Adult']"
"Things We Left Behind (Knockemout, #3)",https://www.goodreads.com/book/show/116536542-things-we-left-behind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677175478i/116536542._SY75_.jpg,"['Romance', 'Contemporary Romance', 'Contemporary', 'Fiction', 'Adult', 'Chick Lit', 'Audiobook']"
"Friends, Lovers, and the Big Terrible Thing",https://www.goodreads.com/book/show/59641216-friends-lovers-and-the-big-terrible-thing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1699634140i/59641216._SY75_.jpg,"['Nonfiction', 'Audiobook', 'Memoir', 'Biography', 'Autobiography', 'Biography Memoir', 'Mental Health']"
"Crown of Midnight (Throne of Glass, #2)",https://www.goodreads.com/book/show/76705490-crown-of-midnight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566594i/76705490._SY75_.jpg,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Fiction', 'Young Adult Fantasy', 'Fae']"
Demon Copperhead,https://www.goodreads.com/book/show/60194162-demon-copperhead,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660050779i/60194162._SY75_.jpg,"['Fiction', 'Historical Fiction', 'Audiobook', 'Literary Fiction', 'Coming Of Age', 'Contemporary', 'Book Club']"
"The Spy Coast (The Martini Club, #1)",https://www.goodreads.com/book/show/131068071-the-spy-coast,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681586779i/131068071._SY75_.jpg,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Espionage', 'Suspense', 'Contemporary']"
"The Housemaid's Secret (The Housemaid, #2)",https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664729357i/62848145._SY75_.jpg,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Suspense', 'Psychological Thriller', 'Audiobook']"
"Wildfire (Maple Hills, #2)",https://www.goodreads.com/book/show/101145836-wildfire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688314784i/101145836._SY75_.jpg,"['Romance', 'Contemporary', 'Sports Romance', 'Contemporary Romance', 'Sports', 'New Adult', 'Fiction']"
Hello Beautiful,https://www.goodreads.com/book/show/61771675-hello-beautiful,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687803098i/61771675._SY75_.jpg,"['Fiction', 'Historical Fiction', 'Audiobook', 'Contemporary', 'Literary Fiction', 'Romance', 'Family']"
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028._SY75_.jpg,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
The Coworker,https://www.goodreads.com/book/show/123423832-the-coworker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685248649i/123423832._SY75_.jpg,"['Thriller', 'Mystery', 'Audiobook', 'Mystery Thriller', 'Fiction', 'Suspense', 'Psychological Thriller']"
Heir of Fire (Throne of Glass #3),https://www.goodreads.com/book/show/76706470-heir-of-fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566654i/76706470._SY75_.jpg,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Fae', 'Fiction', 'Young Adult Fantasy']"
